Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
IBRD only,IBD,"Population, total",SP.POP.TOTL,4676922961,4721753602,4765998583,4807240463,4845361414,4878606096,4905534420,4928522353,4952554878
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6281111240,6360340293,6440236993,6518316997,6594502842,6666779721,6732972939,6795050443,6858864199
IDA total,IDA,"Population, total",SP.POP.TOTL,1604188279,1638586691,1674238410,1711076534,1749141428,1788173625,1827438519,1866528090,1906309321
IDA blend,IDB,"Population, total",SP.POP.TOTL,567234056,578463670,590024074,601951913,614017319,626440308,639196319,651895919,664395892
Indonesia,IDN,"Population, total",SP.POP.TOTL,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067
IDA only,IDX,"Population, total",SP.POP.TOTL,1036954223,1060123021,1084214336,1109124621,1135124109,1161733317,1188242200,1214632171,1241913429
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83593,83466,83609,83805,83957,84064,84106,84132,84165
India,IND,"Population, total",SP.POP.TOTL,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4701957,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5307600
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707
Iraq,IRQ,"Population, total",SP.POP.TOTL,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049
Iceland,ISL,"Population, total",SP.POP.TOTL,330815,335439,343400,352721,360563,366463,372520,382003,393349
Israel,ISR,"Population, total",SP.POP.TOTL,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000
Italy,ITA,"Population, total",SP.POP.TOTL,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475
Jamaica,JAM,"Population, total",SP.POP.TOTL,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786
Jordan,JOR,"Population, total",SP.POP.TOTL,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213
Japan,JPN,"Population, total",SP.POP.TOTL,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104
Kenya,KEN,"Population, total",SP.POP.TOTL,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6040036,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750
Cambodia,KHM,"Population, total",SP.POP.TOTL,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880
Kiribati,KIR,"Population, total",SP.POP.TOTL,116815,118478,120275,122084,123921,126099,128377,130469,132530
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47087,47075,47050,47008,46952,46870,46763,46709,46758
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619
Kuwait,KWT,"Population, total",SP.POP.TOTL,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,551075145,556440282,561957179,567711159,573311679,578091505,581884231,585648822,589889543
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993
Lebanon,LBN,"Population, total",SP.POP.TOTL,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493
Liberia,LBR,"Population, total",SP.POP.TOTL,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031
Libya,LBY,"Population, total",SP.POP.TOTL,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659
St. Lucia,LCA,"Population, total",SP.POP.TOTL,174905,175646,176342,177017,177661,178250,178522,178781,179285
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,618868462,624737786,630414986,635778081,640962372,645497651,649234493,653104795,657617663
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674
Low income,LIC,"Population, total",SP.POP.TOTL,488308267,501149314,514890519,529522043,544980983,560643073,576076618,591481496,607774703
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37494,37716,37962,38246,38563,38901,39182,39493,39850
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027,3043358377,3082002881
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170,6378645843,6438272260,6499219471
Lesotho,LSO,"Population, total",SP.POP.TOTL,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820,2320449542,2324125644,2326636900
Lithuania,LTU,"Population, total",SP.POP.TOTL,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585
Luxembourg,LUX,"Population, total",SP.POP.TOTL,569604,582014,596336,607950,620001,630419,640064,653103,666430
Latvia,LVA,"Population, total",SP.POP.TOTL,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,642900,652500,648400,658900,672000,685400,682500,677300,678800
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,37369,37175,36837,36012,34267,31786,29961,28870,27515
Morocco,MAR,"Population, total",SP.POP.TOTL,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505
Monaco,MCO,"Population, total",SP.POP.TOTL,36757,37276,37678,38154,38109,38050,38527,38931,38956
Moldova,MDA,"Population, total",SP.POP.TOTL,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783
Madagascar,MDG,"Population, total",SP.POP.TOTL,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932
Maldives,MDV,"Population, total",SP.POP.TOTL,428154,443308,458287,473099,487731,502118,516154,524106,525994
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Population, total",SP.POP.TOTL,694232973,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454
Mexico,MEX,"Population, total",SP.POP.TOTL,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,48800,47709,46529,45285,44007,42706,41367,40077,38827
Middle income,MIC,"Population, total",SP.POP.TOTL,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225,5846790764,5891444768
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816
Mali,MLI,"Population, total",SP.POP.TOTL,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127
Malta,MLT,"Population, total",SP.POP.TOTL,444220,454505,467106,483903,503912,515490,518150,531113,552747
Myanmar,MMR,"Population, total",SP.POP.TOTL,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Population, total",SP.POP.TOTL,635352686,645837915,656767614,668447432,680490997,692532027,704458802,716508657,729077445
Montenegro,MNE,"Population, total",SP.POP.TOTL,624651,625353,625982,626438,626753,626590,625053,623591,623529
Mongolia,MNG,"Population, total",SP.POP.TOTL,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,51514,50773,49959,49077,48129,47528,46979,46078,45143
Mozambique,MOZ,"Population, total",SP.POP.TOTL,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160
Mauritania,MRT,"Population, total",SP.POP.TOTL,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441
Mauritius,MUS,"Population, total",SP.POP.TOTL,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041
Malawi,MWI,"Population, total",SP.POP.TOTL,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482
Malaysia,MYS,"Population, total",SP.POP.TOTL,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298
North America,NAC,"Population, total",SP.POP.TOTL,357583083,360527592,363217262,365666028,367908829,369670740,370404272,373018004,376954413
Namibia,NAM,"Population, total",SP.POP.TOTL,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095
New Caledonia,NCL,"Population, total",SP.POP.TOTL,283168,283423,283546,283541,283606,284176,285214,287123,289870
Niger,NER,"Population, total",SP.POP.TOTL,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867
Nigeria,NGA,"Population, total",SP.POP.TOTL,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613
Netherlands,NLD,"Population, total",SP.POP.TOTL,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117
Norway,NOR,"Population, total",SP.POP.TOTL,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594
Nepal,NPL,"Population, total",SP.POP.TOTL,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614
Nauru,NRU,"Population, total",SP.POP.TOTL,10954,11150,11324,11477,11587,11643,11709,11801,11875
New Zealand,NZL,"Population, total",SP.POP.TOTL,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117100,5245000
OECD members,OED,"Population, total",SP.POP.TOTL,1331675197,1340142055,1348127258,1356470975,1364155119,1369327995,1371811773,1379097485,1388472514
Oman,OMN,"Population, total",SP.POP.TOTL,4184895,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269
Other small states,OSS,"Population, total",SP.POP.TOTL,11722398,11851918,11989367,12135267,12281907,12417333,12541889,12699005,12842214
Pakistan,PAK,"Population, total",SP.POP.TOTL,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495
Panama,PAN,"Population, total",SP.POP.TOTL,3960035,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759
Peru,PER,"Population, total",SP.POP.TOTL,30457600,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617
Philippines,PHL,"Population, total",SP.POP.TOTL,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199
Palau,PLW,"Population, total",SP.POP.TOTL,17770,17797,17812,17814,17798,17792,17783,17759,17727
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635
Poland,POL,"Population, total",SP.POP.TOTL,37986412,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,870587800,895239872,920568701,946317177,972302503,998624261,1024960313,1051201551,1078224044
Puerto Rico (US),PRI,"Population, total",SP.POP.TOTL,3535167,3480432,3410837,3290690,3302691,3281590,3262711,3220137,3203792
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204
Portugal,PRT,"Population, total",SP.POP.TOTL,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174
Paraguay,PRY,"Population, total",SP.POP.TOTL,6159103,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2445989,2477794,2509999,2542009,2568656,2595522,2625493,2656049,2689224
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1097890139,1102966925,1107161559,1111377470,1114907717,1117025276,1116609473,1117926537,1121892872
French Polynesia,PYF,"Population, total",SP.POP.TOTL,277866,279178,280087,279815,279034,279209,279792,280378,281118
Qatar,QAT,"Population, total",SP.POP.TOTL,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032
Romania,ROU,"Population, total",SP.POP.TOTL,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130
Rwanda,RWA,"Population, total",SP.POP.TOTL,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471
South Asia,SAS,"Population, total",SP.POP.TOTL,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731
Sudan,SDN,"Population, total",SP.POP.TOTL,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791
Senegal,SEN,"Population, total",SP.POP.TOTL,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573
Singapore,SGP,"Population, total",SP.POP.TOTL,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,639415,662379,685672,709101,728147,744498,762591,781066,800005
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512
El Salvador,SLV,"Population, total",SP.POP.TOTL,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624
San Marino,SMR,"Population, total",SP.POP.TOTL,32897,33101,33825,34522,34663,34770,34252,33755,33860
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615
Serbia,SRB,"Population, total",SP.POP.TOTL,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,921290560,946011305,971179323,997236086,1023480610,1049999318,1076774079,1103704408,1131090888
South Sudan,SSD,"Population, total",SP.POP.TOTL,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353
Small states,SST,"Population, total",SP.POP.TOTL,18482578,18671045,18865506,19084934,19293697,19472157,19646549,19852364,20051342
